linenumber,fec_committee_id,fec_candidate_id,candidate_name,party,office_name,office_state,district,position,transaction_id,payee,street_1,street_2,city,state,zip_code,date,amount,purpose,cycle
SE,C00553560,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.9264,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2016-03-09,240.2,VOTER CONTACT MAIL,2016
SE,C00004036,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,S,D363886,Image Pointe,1224 La Porte Road,,Waterloo,IA,50702,2016-03-02,164.17,T-shirts,2016
SE,C90013244,P80001571,DONALD J TRUMP,REP,President,IN,,O,F57.4375,"Outlaw Media, LLC",PO Box 9735,,Arlington,VA,22219,2016-03-01,88.24,Online Advertising Production,2016
SE,C90013244,P80001571,DONALD J TRUMP,REP,President,IN,,O,F57.4376,Facebook,1 Hacker Way,,Menlo Park,CA,94025,2016-03-01,19.61,Online Advertising Buy,2016
SE,C00574533,P00003392,Hillary Clinton,DEM,President,IN,,O,SB.146,RedPrint Strategy,P.O. Box 710993,"",Herndon,VA,20171,2016-02-27,468.08,Media production,2016
SE,C00574533,P00003392,Hillary Clinton,DEM,President,IN,,O,SB.145,Arena Online,1780 West Sequoia Vista Circle,"",Salt Lake City,UT,84104,2016-02-27,37.24,Media placement,2016
SE,C00574533,P00003392,Hillary Clinton,DEM,President,IN,,O,SB.144,Red Eagle Media Group,815 Slaters Lane,"",Alexandria,VA,22314,2016-02-27,997.12,Media placement,2016
SE,C00553560,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.9160,FORTH RIGHT STRATEGY INC,1155 - 15TH STREET NW,SUITE 410,WASHINGTON,DC,20005,2016-02-22,97.56,VOTER CONTACT MAIL,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.4430,FORTHRIGHT STRATRGIES INC,1155 - 15TH STREET NW,SUITE 401,WASHINGTON,DC,20005,2016-02-03,1612.47,VOTER CONTACT MAIL,2016
SE,C00401786,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.4325,FORTHRIGHT STRATRGIES INC,1155 - 15TH STREET NW,SUITE 401,WASHINGTON,DC,20005,2016-01-21,796.92,VOTER CONTACT MAIL,2016
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.4117,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DRIVE,,AKRON,OH,44333,2016-01-12,8279.67,VOTER CONTACT OVER SEVERAL WEEKS,2016
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.20032,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DRIVE,,AKRON,OH,44333,2016-01-12,2827.35,VOTER CONTACT CALLS,2016
SE,C00566174,P00003392,HILLARY RODHAM CLINTON,DEM,President,IN,,O,SE.20135,INFOCISION MANAGEMENT CORP,325 SPRINGSIDE DRIVE,,AKRON,OH,44333,2016-01-12,2124.88,VOTER CONTACT CALLS,2016
